year,month,date_of_month,day_of_week,Date,births
2001,4,3,2,4/3/2001,12864
2001,4,4,3,4/4/2001,12655
2001,4,5,4,4/5/2001,12438
2001,4,6,5,4/6/2001,12407
2001,4,7,6,4/7/2001,8755
2001,4,8,7,4/8/2001,7718
2001,4,9,1,4/9/2001,11617
2001,4,10,2,4/10/2001,13031
2001,4,11,3,4/11/2001,12912
2001,4,12,4,4/12/2001,12733
2001,4,13,5,4/13/2001,10881
2001,4,14,6,4/14/2001,8262
2001,4,15,7,4/15/2001,7230
2001,4,16,1,4/16/2001,11220
2001,4,17,2,4/17/2001,12867
2001,4,18,3,4/18/2001,12381
2001,4,19,4,4/19/2001,12257
2001,4,20,5,4/20/2001,12296
2001,4,21,6,4/21/2001,8849
2001,4,22,7,4/22/2001,7758
2001,4,23,1,4/23/2001,11672
2001,4,24,2,4/24/2001,12981
2001,4,25,3,4/25/2001,12728
2001,4,26,4,4/26/2001,12560
2001,4,27,5,4/27/2001,12335
2001,4,28,6,4/28/2001,8574
2001,4,29,7,4/29/2001,7602
2001,4,30,1,4/30/2001,11416
2001,5,1,2,5/1/2001,13037
2001,5,2,3,5/2/2001,12542
2001,5,3,4,5/3/2001,12596
2001,5,4,5,5/4/2001,12276
2001,5,5,6,5/5/2001,8795
2001,5,6,7,5/6/2001,8001
2001,5,7,1,5/7/2001,11635
2001,5,8,2,5/8/2001,13032
2001,5,9,3,5/9/2001,12477
2001,5,10,4,5/10/2001,12632
2001,5,11,5,5/11/2001,12296
2001,5,12,6,5/12/2001,8692
2001,5,13,7,5/13/2001,7479
2001,5,14,1,5/14/2001,11577
2001,5,15,2,5/15/2001,13124
2001,5,16,3,5/16/2001,12625
2001,5,17,4,5/17/2001,12630
2001,5,18,5,5/18/2001,12313
2001,5,19,6,5/19/2001,8803
2001,5,20,7,5/20/2001,7732
2001,5,21,1,5/21/2001,11680
2001,5,22,2,5/22/2001,13047
2001,5,23,3,5/23/2001,12936
2001,5,24,4,5/24/2001,13179
2001,5,25,5,5/25/2001,12722
2001,5,26,6,5/26/2001,8911
2001,5,27,7,5/27/2001,7529
2001,5,28,1,5/28/2001,7993
2001,5,29,2,5/29/2001,12013
2001,5,30,3,5/30/2001,13334
2001,5,31,4,5/31/2001,13051
2001,6,1,5,6/1/2001,12677
2001,6,2,6,6/2/2001,8920
2001,6,3,7,6/3/2001,7887
2001,6,4,1,6/4/2001,11500
2001,6,5,2,6/5/2001,12683
2001,6,6,3,6/6/2001,12804
2001,6,7,4,6/7/2001,12566
2001,6,8,5,6/8/2001,12451
2001,6,9,6,6/9/2001,8756
2001,6,10,7,6/10/2001,7674
2001,6,11,1,6/11/2001,11776
2001,6,12,2,6/12/2001,13218
2001,6,13,3,6/13/2001,12342
2001,6,14,4,6/14/2001,12655
2001,6,15,5,6/15/2001,12394
2001,6,16,6,6/16/2001,8780
2001,6,17,7,6/17/2001,7722
2001,6,18,1,6/18/2001,11756
2001,6,19,2,6/19/2001,12785
2001,6,20,3,6/20/2001,12704
2001,6,21,4,6/21/2001,12615
2001,6,22,5,6/22/2001,12299
2001,6,23,6,6/23/2001,8452
2001,6,24,7,6/24/2001,7639
2001,6,25,1,6/25/2001,11575
2001,6,26,2,6/26/2001,12939
2001,6,27,3,6/27/2001,12809
2001,6,28,4,6/28/2001,13059
2001,6,29,5,6/29/2001,12922
2001,6,30,6,6/30/2001,9247
2001,7,1,7,7/1/2001,8145
2001,7,2,1,7/2/2001,12390
2001,7,3,2,7/3/2001,13364
2001,7,4,3,7/4/2001,9608
2001,7,5,4,7/5/2001,12531
2001,7,6,5,7/6/2001,13151
2001,7,7,6,7/7/2001,9544
2001,7,8,7,7/8/2001,8249
2001,7,9,1,7/9/2001,12036
2001,7,10,2,7/10/2001,13614
2001,7,11,3,7/11/2001,13026
2001,7,12,4,7/12/2001,13188
2001,7,13,5,7/13/2001,12187
2001,7,14,6,7/14/2001,9269
2001,7,15,7,7/15/2001,8047
2001,7,16,1,7/16/2001,12383
2001,7,17,2,7/17/2001,13657
2001,7,18,3,7/18/2001,13241
2001,7,19,4,7/19/2001,13293
2001,7,20,5,7/20/2001,12950
2001,7,21,6,7/21/2001,9410
2001,7,22,7,7/22/2001,8116
2001,7,23,1,7/23/2001,12099
2001,7,24,2,7/24/2001,13532
2001,7,25,3,7/25/2001,12988
2001,7,26,4,7/26/2001,13022
2001,7,27,5,7/27/2001,12677
2001,7,28,6,7/28/2001,9102
2001,7,29,7,7/29/2001,7892
2001,7,30,1,7/30/2001,12150
2001,7,31,2,7/31/2001,13218
2001,8,1,3,8/1/2001,12960
2001,8,2,4,8/2/2001,13097
2001,8,3,5,8/3/2001,12859
2001,8,4,6,8/4/2001,9143
2001,8,5,7,8/5/2001,8062
2001,8,6,1,8/6/2001,12008
2001,8,7,2,8/7/2001,13488
2001,8,8,3,8/8/2001,13185
2001,8,9,4,8/9/2001,13339
2001,8,10,5,8/10/2001,13094
2001,8,11,6,8/11/2001,9275
2001,8,12,7,8/12/2001,8261
2001,8,13,1,8/13/2001,11682
2001,8,14,2,8/14/2001,13325
2001,8,15,3,8/15/2001,13332
2001,8,16,4,8/16/2001,13372
2001,8,17,5,8/17/2001,13102
2001,8,18,6,8/18/2001,9294
2001,8,19,7,8/19/2001,7945
2001,8,20,1,8/20/2001,12313
2001,8,21,2,8/21/2001,13590
2001,8,22,3,8/22/2001,13146
2001,8,23,4,8/23/2001,13158
2001,8,24,5,8/24/2001,12996
2001,8,25,6,8/25/2001,9229
2001,8,26,7,8/26/2001,8115
2001,8,27,1,8/27/2001,12080
2001,8,28,2,8/28/2001,13792
2001,8,29,3,8/29/2001,13160
2001,8,30,4,8/30/2001,13520
2001,8,31,5,8/31/2001,13461
2001,9,1,6,9/1/2001,9248
2001,9,2,7,9/2/2001,8239
2001,9,3,1,9/3/2001,8115
2001,9,4,2,9/4/2001,12501
2001,9,5,3,9/5/2001,14055
2001,9,6,4,9/6/2001,13925
2001,9,7,5,9/7/2001,13721
2001,9,8,6,9/8/2001,9344
2001,9,9,7,9/9/2001,8347
2001,9,10,1,9/10/2001,12459
2001,9,11,2,9/11/2001,13590
2001,9,12,3,9/12/2001,13149
2001,9,13,4,9/13/2001,13186
2001,9,14,5,9/14/2001,13444
2001,9,15,6,9/15/2001,9662
2001,9,16,7,9/16/2001,8319
2001,9,17,1,9/17/2001,12664
2001,9,18,2,9/18/2001,13526
2001,9,19,3,9/19/2001,13575
2001,9,20,4,9/20/2001,13750
2001,9,21,5,9/21/2001,13341
2001,9,22,6,9/22/2001,9607
2001,9,23,7,9/23/2001,8495
2001,9,24,1,9/24/2001,12564
2001,9,25,2,9/25/2001,14063
2001,9,26,3,9/26/2001,13441
2001,9,27,4,9/27/2001,13199
2001,9,28,5,9/28/2001,13174
2001,9,29,6,9/29/2001,9243
2001,9,30,7,9/30/2001,8042
2001,10,1,1,10/1/2001,12425
2001,10,2,2,10/2/2001,13523
2001,10,3,3,10/3/2001,13056
2001,10,4,4,10/4/2001,13182
2001,10,5,5,10/5/2001,12851
2001,10,6,6,10/6/2001,8872
2001,10,7,7,10/7/2001,7744
2001,10,8,1,10/8/2001,11531
2001,10,9,2,10/9/2001,12886
2001,10,10,3,10/10/2001,12858
2001,10,11,4,10/11/2001,12568
2001,10,12,5,10/12/2001,12676
2001,10,13,6,10/13/2001,8659
2001,10,14,7,10/14/2001,7753
2001,10,15,1,10/15/2001,11649
2001,10,16,2,10/16/2001,12770
2001,10,17,3,10/17/2001,12599
2001,10,18,4,10/18/2001,12579
2001,10,19,5,10/19/2001,12359
2001,10,20,6,10/20/2001,8747
2001,10,21,7,10/21/2001,7506
2001,10,22,1,10/22/2001,11705
2001,10,23,2,10/23/2001,12896
2001,10,24,3,10/24/2001,12676
2001,10,25,4,10/25/2001,12516
2001,10,26,5,10/26/2001,12296
2001,10,27,6,10/27/2001,8458
2001,10,28,7,10/28/2001,7676
2001,10,29,1,10/29/2001,11389
2001,10,30,2,10/30/2001,12534
2001,10,31,3,10/31/2001,10913
2001,11,1,4,11/1/2001,12879
2001,11,2,5,11/2/2001,12374
2001,11,3,6,11/3/2001,8572
2001,11,4,7,11/4/2001,7533
2001,11,5,1,11/5/2001,11668
2001,11,6,2,11/6/2001,12662
2001,11,7,3,11/7/2001,12419
2001,11,8,4,11/8/2001,12519
2001,11,9,5,11/9/2001,12416
2001,11,10,6,11/10/2001,8665
2001,11,11,7,11/11/2001,7599
2001,11,12,1,11/12/2001,11670
2001,11,13,2,11/13/2001,12382
2001,11,14,3,11/14/2001,12602
2001,11,15,4,11/15/2001,12936
2001,11,16,5,11/16/2001,12979
2001,11,17,6,11/17/2001,8774
2001,11,18,7,11/18/2001,7495
2001,11,19,1,11/19/2001,12709
2001,11,20,2,11/20/2001,13603
2001,11,21,3,11/21/2001,12167
2001,11,22,4,11/22/2001,7513
2001,11,23,5,11/23/2001,9594
2001,11,24,6,11/24/2001,8100
2001,11,25,7,11/25/2001,7456
2001,11,26,1,11/26/2001,11732
2001,11,27,2,11/27/2001,13249
2001,11,28,3,11/28/2001,12516
2001,11,29,4,11/29/2001,12474
2001,11,30,5,11/30/2001,12019
2001,12,1,6,12/1/2001,8255
2001,12,2,7,12/2/2001,7385
2001,12,3,1,12/3/2001,11548
2001,12,4,2,12/4/2001,12605
2001,12,5,3,12/5/2001,12609
2001,12,6,4,12/6/2001,12188
2001,12,7,5,12/7/2001,11693
2001,12,8,6,12/8/2001,8372
2001,12,9,7,12/9/2001,7498
2001,12,10,1,12/10/2001,11655
2001,12,11,2,12/11/2001,12798
2001,12,12,3,12/12/2001,12884
2001,12,13,4,12/13/2001,12230
2001,12,14,5,12/14/2001,12405
2001,12,15,6,12/15/2001,8615
2001,12,16,7,12/16/2001,7432
2001,12,17,1,12/17/2001,12392
2001,12,18,2,12/18/2001,13657
2001,12,19,3,12/19/2001,13404
2001,12,20,4,12/20/2001,13871
2001,12,21,5,12/21/2001,13530
2001,12,22,6,12/22/2001,9062
2001,12,23,7,12/23/2001,7245
2001,12,24,1,12/24/2001,7626
2001,12,25,2,12/25/2001,6603
2001,12,26,3,12/26/2001,11040
2001,12,27,4,12/27/2001,14151
2001,12,28,5,12/28/2001,14235
2001,12,29,6,12/29/2001,9563
2001,12,30,7,12/30/2001,7840
2001,12,31,1,12/31/2001,10272
2002,1,1,2,1/1/2002,7927
